Nombre;Traduction_soussou
326;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sénní
327;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sólófèré
328;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
329;k̀ɛḿɛ sàxán m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
330;k̀ɛḿɛ sàxán tòngó sàxán
331;k̀ɛḿɛ sàxán tòngó sàxán nŭn kérén
332;k̀ɛḿɛ sàxán tòngó sàxán nŭn ̀fírín
333;k̀ɛḿɛ sàxán tòngó sàxán nŭn sàxán
334;k̀ɛḿɛ sàxán tòngó sàxán nŭn náání
335;k̀ɛḿɛ sàxán tòngó sàxán nŭn súlí
336;k̀ɛḿɛ sàxán tòngó sàxán nŭn sénní
337;k̀ɛḿɛ sàxán tòngó sàxán nŭn sólófèré
338;k̀ɛḿɛ sàxán tòngó sàxán nŭn sólómásàxán
339;k̀ɛḿɛ sàxán tòngó sàxán nŭn sólómánáání
340;k̀ɛḿɛ sàxán tòngó náání
341;k̀ɛḿɛ sàxán tòngó náání nŭn kérén
342;k̀ɛḿɛ sàxán tòngó náání nŭn ̀fírín
343;k̀ɛḿɛ sàxán tòngó náání nŭn sàxán
344;k̀ɛḿɛ sàxán tòngó náání nŭn náání
345;k̀ɛḿɛ sàxán tòngó náání nŭn súlí
346;k̀ɛḿɛ sàxán tòngó náání nŭn sénní
347;k̀ɛḿɛ sàxán tòngó náání nŭn sólófèré
348;k̀ɛḿɛ sàxán tòngó náání nŭn sólómásàxán
349;k̀ɛḿɛ sàxán tòngó náání nŭn sólómánáání
350;k̀ɛḿɛ sàxán tòngó súlí
351;k̀ɛḿɛ sàxán tòngó súlí nŭn kérén
352;k̀ɛḿɛ sàxán tòngó súlí nŭn ̀fírín
353;k̀ɛḿɛ sàxán tòngó súlí nŭn sàxán
354;k̀ɛḿɛ sàxán tòngó súlí nŭn náání
355;k̀ɛḿɛ sàxán tòngó súlí nŭn súlí
356;k̀ɛḿɛ sàxán tòngó súlí nŭn sénní
357;k̀ɛḿɛ sàxán tòngó súlí nŭn sólófèré
358;k̀ɛḿɛ sàxán tòngó súlí nŭn sólómásàxán
359;k̀ɛḿɛ sàxán tòngó súlí nŭn sólómánáání
360;k̀ɛḿɛ sàxán tòngó sénní
361;k̀ɛḿɛ sàxán tòngó sénní nŭn kérén
362;k̀ɛḿɛ sàxán tòngó sénní nŭn ̀fírín
363;k̀ɛḿɛ sàxán tòngó sénní nŭn sàxán
364;k̀ɛḿɛ sàxán tòngó sénní nŭn náání
365;k̀ɛḿɛ sàxán tòngó sénní nŭn súlí
366;k̀ɛḿɛ sàxán tòngó sénní nŭn sénní
367;k̀ɛḿɛ sàxán tòngó sénní nŭn sólófèré
368;k̀ɛḿɛ sàxán tòngó sénní nŭn sólómásàxán
369;k̀ɛḿɛ sàxán tòngó sénní nŭn sólómánáání
370;k̀ɛḿɛ sàxán tòngó sólófèré
371;k̀ɛḿɛ sàxán tòngó sólófèré nŭn kérén
372;k̀ɛḿɛ sàxán tòngó sólófèré nŭn ̀fírín
373;k̀ɛḿɛ sàxán tòngó sólófèré nŭn sàxán
374;k̀ɛḿɛ sàxán tòngó sólófèré nŭn náání
375;k̀ɛḿɛ sàxán tòngó sólófèré nŭn súlí
376;k̀ɛḿɛ sàxán tòngó sólófèré nŭn sénní
377;k̀ɛḿɛ sàxán tòngó sólófèré nŭn sólófèré
378;k̀ɛḿɛ sàxán tòngó sólófèré nŭn sólómásàxán
379;k̀ɛḿɛ sàxán tòngó sólófèré nŭn sólómánáání
380;k̀ɛḿɛ sàxán tòngó sólómásàxán
381;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn kérén
382;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn ̀fírín
383;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn sàxán
384;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn náání
385;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn súlí
386;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn sénní
387;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn sólófèré
388;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn sólómásàxán
389;k̀ɛḿɛ sàxán tòngó sólómásàxán nŭn sólómánáání
390;k̀ɛḿɛ sàxán tòngó sólómánáání
391;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn kérén
392;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn ̀fírín
393;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn sàxán
394;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn náání
395;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn súlí
396;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn sénní
397;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn sólófèré
398;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn sólómásàxán
399;k̀ɛḿɛ sàxán tòngó sólómánáání nŭn sólómánáání
400;k̀ɛḿɛ náání
401;k̀ɛḿɛ náání kérén
402;k̀ɛḿɛ náání ̀fírín
403;k̀ɛḿɛ náání sàxán
404;k̀ɛḿɛ náání náání
405;k̀ɛḿɛ náání súlí
